"","owner","period","player","actual_fantasy_points","lineup"
"1","me",1,"Giannis Antetokounmpo",0,3
"2","me",1,"Kawhi Leonard",0,2
"3","me",1,"Damian Lillard",0,0
"4","me",1,"LaMarcus Aldridge",0,11
"5","me",1,"Donovan Mitchell",0,1
"6","me",1,"Luka Doncic",0,5
"7","me",1,"DeAndre Jordan",0,11
"8","me",1,"Julius Randle",0,6
"9","me",1,"Dwight Howard",0,11
"10","me",1,"Goran Dragic",0,12
"11","me",1,"Jonas Valanciunas",0,12
"12","me",1,"Kyle Kuzma",0,12
"13","me",1,"Steven Adams",27,4
"14","me",2,"Giannis Antetokounmpo",29,3
"15","me",2,"Kawhi Leonard",22,2
"16","me",2,"Damian Lillard",0,0
"17","me",2,"LaMarcus Aldridge",33,11
"18","me",2,"Donovan Mitchell",17,1
"19","me",2,"Luka Doncic",5,5
"20","me",2,"DeAndre Jordan",26,11
"21","me",2,"Julius Randle",29,6
"22","me",2,"Dwight Howard",0,11
"23","me",2,"Goran Dragic",27,12
"24","me",2,"Jonas Valanciunas",16,12
"25","me",2,"Kyle Kuzma",0,12
"26","me",2,"Steven Adams",0,4
"27","me",3,"Giannis Antetokounmpo",0,12
"28","me",3,"Kawhi Leonard",0,2
"29","me",3,"Damian Lillard",29,0
"30","me",3,"LaMarcus Aldridge",0,11
"31","me",3,"Donovan Mitchell",0,1
"32","me",3,"Luka Doncic",0,12
"33","me",3,"DeAndre Jordan",0,11
"34","me",3,"Julius Randle",0,6
"35","me",3,"Dwight Howard",0,11
"36","me",3,"Goran Dragic",10,5
"37","me",3,"Jonas Valanciunas",0,12
"38","me",3,"Kyle Kuzma",11,3
"39","me",3,"Steven Adams",0,4
"40","me",4,"Giannis Antetokounmpo",37,3
"41","me",4,"Kawhi Leonard",29,2
"42","me",4,"Damian Lillard",0,0
"43","me",4,"LaMarcus Aldridge",0,12
"44","me",4,"Donovan Mitchell",13,1
"45","me",4,"Luka Doncic",0,12
"46","me",4,"DeAndre Jordan",0,11
"47","me",4,"Julius Randle",16,6
"48","me",4,"Dwight Howard",0,11
"49","me",4,"Goran Dragic",0,5
"50","me",4,"Jonas Valanciunas",5,11
"51","me",4,"Kyle Kuzma",0,12
"52","me",4,"Steven Adams",34,4
"53","me",5,"Giannis Antetokounmpo",0,12
"54","me",5,"Kawhi Leonard",0,2
"55","me",5,"Damian Lillard",34,0
"56","me",5,"LaMarcus Aldridge",23,3
"57","me",5,"Donovan Mitchell",0,12
"58","me",5,"Luka Doncic",27,1
