"","dt","period"
"1",2018-10-16,1
"2",2018-10-17,2
"3",2018-10-18,3
"4",2018-10-19,4
"5",2018-10-20,5
"6",2018-10-21,6
"7",2018-10-22,7
"8",2018-10-23,8
"9",2018-10-24,9
"10",2018-10-25,10
"11",2018-10-26,11
"12",2018-10-27,12
"13",2018-10-28,13
"14",2018-10-29,14
"15",2018-10-30,15
"16",2018-10-31,16
"17",2018-11-01,17
"18",2018-11-02,18
"19",2018-11-03,19
"20",2018-11-04,20
"21",2018-11-05,21
"22",2018-11-06,22
"23",2018-11-07,23
"24",2018-11-08,24
"25",2018-11-09,25
"26",2018-11-10,26
"27",2018-11-11,27
"28",2018-11-12,28
"29",2018-11-13,29
"30",2018-11-14,30
"31",2018-11-15,31
"32",2018-11-16,32
"33",2018-11-17,33
"34",2018-11-18,34
"35",2018-11-19,35
"36",2018-11-20,36
"37",2018-11-21,37
"38",2018-11-23,38
"39",2018-11-24,39
"40",2018-11-25,40
"41",2018-11-26,41
"42",2018-11-27,42
"43",2018-11-28,43
"44",2018-11-29,44
"45",2018-11-30,45
"46",2018-12-01,46
"47",2018-12-02,47
"48",2018-12-03,48
"49",2018-12-04,49
"50",2018-12-05,50
"51",2018-12-06,51
"52",2018-12-07,52
"53",2018-12-08,53
"54",2018-12-09,54
"55",2018-12-10,55
"56",2018-12-11,56
"57",2018-12-12,57
"58",2018-12-13,58
"59",2018-12-14,59
"60",2018-12-15,60
"61",2018-12-16,61
"62",2018-12-17,62
"63",2018-12-18,63
"64",2018-12-19,64
"65",2018-12-20,65
"66",2018-12-21,66
"67",2018-12-22,67
"68",2018-12-23,68
"69",2018-12-25,69
"70",2018-12-26,70
"71",2018-12-27,71
"72",2018-12-28,72
"73",2018-12-29,73
"74",2018-12-30,74
"75",2018-12-31,75
"76",2019-01-01,76
"77",2019-01-02,77
"78",2019-01-03,78
"79",2019-01-04,79
"80",2019-01-05,80
"81",2019-01-06,81
"82",2019-01-07,82
"83",2019-01-08,83
"84",2019-01-09,84
"85",2019-01-10,85
"86",2019-01-11,86
"87",2019-01-12,87
"88",2019-01-13,88
"89",2019-01-14,89
"90",2019-01-15,90
"91",2019-01-16,91
"92",2019-01-17,92
"93",2019-01-18,93
"94",2019-01-19,94
"95",2019-01-20,95
"96",2019-01-21,96
"97",2019-01-22,97
"98",2019-01-23,98
"99",2019-01-24,99
"100",2019-01-25,100
"101",2019-01-26,101
"102",2019-01-27,102
"103",2019-01-28,103
"104",2019-01-29,104
"105",2019-01-30,105
"106",2019-01-31,106
"107",2019-02-01,107
"108",2019-02-02,108
"109",2019-02-03,109
"110",2019-02-04,110
"111",2019-02-05,111
"112",2019-02-06,112
"113",2019-02-07,113
"114",2019-02-08,114
"115",2019-02-09,115
"116",2019-02-10,116
"117",2019-02-11,117
"118",2019-02-12,118
"119",2019-02-13,119
"120",2019-02-14,120
"121",2019-02-21,121
"122",2019-02-22,122
"123",2019-02-23,123
"124",2019-02-24,124
"125",2019-02-25,125
"126",2019-02-26,126
"127",2019-02-27,127
"128",2019-02-28,128
"129",2019-03-01,129
"130",2019-03-02,130
"131",2019-03-03,131
"132",2019-03-04,132
"133",2019-03-05,133
"134",2019-03-06,134
"135",2019-03-07,135
"136",2019-03-08,136
"137",2019-03-09,137
"138",2019-03-10,138
"139",2019-03-11,139
"140",2019-03-12,140
"141",2019-03-13,141
"142",2019-03-14,142
"143",2019-03-15,143
"144",2019-03-16,144
"145",2019-03-17,145
"146",2019-03-18,146
"147",2019-03-19,147
"148",2019-03-20,148
"149",2019-03-21,149
"150",2019-03-22,150
"151",2019-03-23,151
"152",2019-03-24,152
"153",2019-03-25,153
"154",2019-03-26,154
"155",2019-03-27,155
"156",2019-03-28,156
"157",2019-03-29,157
"158",2019-03-30,158
"159",2019-03-31,159
"160",2019-04-01,160
"161",2019-04-02,161
"162",2019-04-03,162
"163",2019-04-04,163
"164",2019-04-05,164
"165",2019-04-06,165
"166",2019-04-07,166
"167",2019-04-09,167
"168",2019-04-10,168
