"owner","period","player","actual_fantasy_points","predicted_fantasy_points","lineup"
"me",1,"Stephen Curry",0,48.4741935483871,0
"me",1,"Bradley Beal",0,43.0194029850746,1
"me",1,"Kawhi Leonard",0,47.2103448275862,2
"me",1,"LaMarcus Aldridge",0,35.3983606557377,3
"me",1,"John Collins",0,37.4741935483871,12
"me",1,"Robert Covington",0,33.5761194029851,6
"me",1,"Dennis Schroder",0,32.1441176470588,5
"me",1,"Michael Porter Jr.",0,32.3838709677419,11
"me",1,"Eric Bledsoe",0,33.2253968253968,11
"me",1,"Marcus Smart",0,30.4290322580645,11
"me",1,"Evan Fournier",0,28.5461538461538,12
"me",1,"Ivica Zubac",0,27.1647058823529,4
"me",1,"Bogdan Bogdanovic",0,26.1230769230769,12
"me",2,"Stephen Curry",0,48.4741935483871,0
"me",2,"Bradley Beal",0,43.0194029850746,1
"me",2,"Kawhi Leonard",0,47.2103448275862,12
"me",2,"LaMarcus Aldridge",0,35.3983606557377,3
"me",2,"John Collins",0,37.4741935483871,4
"me",2,"Robert Covington",0,33.5761194029851,6
"me",2,"Dennis Schroder",0,32.1441176470588,12
"me",2,"Michael Porter Jr.",0,32.3838709677419,11
"me",2,"Eric Bledsoe",0,33.2253968253968,11
"me",2,"Marcus Smart",0,30.4290322580645,11
"me",2,"Evan Fournier",0,28.5461538461538,5
"me",2,"Ivica Zubac",0,27.1647058823529,12
"me",2,"Bogdan Bogdanovic",0,26.1230769230769,2
"me",3,"Stephen Curry",0,48.4741935483871,0
"me",3,"Bradley Beal",0,43.0194029850746,1
"me",3,"Kawhi Leonard",0,47.2103448275862,12
"me",3,"LaMarcus Aldridge",0,35.3983606557377,3
"me",3,"John Collins",0,37.4741935483871,4
"me",3,"Robert Covington",0,33.5761194029851,6
"me",3,"Dennis Schroder",0,32.1441176470588,12
"me",3,"Michael Porter Jr.",0,32.3838709677419,11
"me",3,"Eric Bledsoe",0,33.2253968253968,11
"me",3,"Marcus Smart",0,30.4290322580645,11
"me",3,"Evan Fournier",0,28.5461538461538,5
"me",3,"Ivica Zubac",0,27.1647058823529,12
"me",3,"Bogdan Bogdanovic",0,26.1230769230769,2
"me",4,"Stephen Curry",0,48.4741935483871,0
"me",4,"Bradley Beal",0,43.0194029850746,1
"me",4,"Kawhi Leonard",0,47.2103448275862,2
"me",4,"LaMarcus Aldridge",0,35.3983606557377,3
"me",4,"John Collins",0,37.4741935483871,12
"me",4,"Robert Covington",0,33.5761194029851,6
"me",4,"Dennis Schroder",0,32.1441176470588,5
"me",4,"Michael Porter Jr.",0,32.3838709677419,11
"me",4,"Eric Bledsoe",0,33.2253968253968,11
"me",4,"Marcus Smart",0,30.4290322580645,11
"me",4,"Evan Fournier",0,28.5461538461538,12
"me",4,"Ivica Zubac",0,27.1647058823529,4
"me",4,"Bogdan Bogdanovic",0,26.1230769230769,12
"me",5,"Stephen Curry",0,48.4741935483871,0
"me",5,"Bradley Beal",0,43.0194029850746,1
"me",5,"Kawhi Leonard",0,47.2103448275862,12
"me",5,"LaMarcus Aldridge",0,35.3983606557377,3
"me",5,"John Collins",0,37.4741935483871,4
"me",5,"Robert Covington",0,33.5761194029851,6
"me",5,"Dennis Schroder",0,32.1441176470588,12
"me",5,"Michael Porter Jr.",0,32.3838709677419,11
"me",5,"Eric Bledsoe",0,33.2253968253968,11
"me",5,"Marcus Smart",0,30.4290322580645,11
"me",5,"Evan Fournier",0,28.5461538461538,5
"me",5,"Ivica Zubac",0,27.1647058823529,12
"me",5,"Bogdan Bogdanovic",0,26.1230769230769,2
"me",6,"Stephen Curry",0,48.4741935483871,0
"me",6,"Bradley Beal",0,43.0194029850746,1
"me",6,"Kawhi Leonard",0,47.2103448275862,6
"me",6,"LaMarcus Aldridge",0,35.3983606557377,3
"me",6,"John Collins",0,37.4741935483871,12
"me",6,"Robert Covington",0,33.5761194029851,12
"me",6,"Dennis Schroder",0,32.1441176470588,11
"me",6,"Michael Porter Jr.",0,32.3838709677419,12
"me",6,"Eric Bledsoe",0,33.2253968253968,11
"me",6,"Marcus Smart",0,30.4290322580645,11
"me",6,"Evan Fournier",0,28.5461538461538,5
"me",6,"Ivica Zubac",0,27.1647058823529,4
"me",6,"Bogdan Bogdanovic",0,26.1230769230769,2
"eddie",1,"Karl-Anthony Towns",0,51.4074626865672,4
"eddie",1,"Joel Embiid",0,47.6354838709677,11
"eddie",1,"Bam Adebayo",0,38.9294117647059,3
"eddie",1,"Jrue Holiday",0,42.0769230769231,0
"eddie",1,"Kelly Oubre Jr.",0,36.3538461538462,2
"eddie",1,"T.J. Warren",0,37.01875,6
"eddie",1,"Jonas Valanciunas",0,35.2444444444444,11
"eddie",1,"LaMelo Ball",0,31.6030303030303,5
"eddie",1,"Lou Williams",0,30.9151515151515,1
"eddie",1,"Obi Toppin",0,27.8208955223881,11
"eddie",1,"Brandon Clarke",0,29.6793650793651,12
"eddie",1,"Mikal Bridges",0,25.9869565217391,12
"eddie",1,"Kendrick Nunn",0,27.3923076923077,12
"eddie",2,"Karl-Anthony Towns",0,51.4074626865672,4
"eddie",2,"Joel Embiid",0,47.6354838709677,11
"eddie",2,"Bam Adebayo",0,38.9294117647059,3
"eddie",2,"Jrue Holiday",0,42.0769230769231,0
"eddie",2,"Kelly Oubre Jr.",0,36.3538461538462,12
"eddie",2,"T.J. Warren",0,37.01875,6
"eddie",2,"Jonas Valanciunas",0,35.2444444444444,11
"eddie",2,"LaMelo Ball",0,31.6030303030303,5
"eddie",2,"Lou Williams",0,30.9151515151515,12
"eddie",2,"Obi Toppin",0,27.8208955223881,11
"eddie",2,"Brandon Clarke",0,29.6793650793651,12
"eddie",2,"Mikal Bridges",0,25.9869565217391,2
"eddie",2,"Kendrick Nunn",0,27.3923076923077,1
"eddie",3,"Karl-Anthony Towns",0,51.4074626865672,4
"eddie",3,"Joel Embiid",0,47.6354838709677,11
"eddie",3,"Bam Adebayo",0,38.9294117647059,3
"eddie",3,"Jrue Holiday",0,42.0769230769231,0
"eddie",3,"Kelly Oubre Jr.",0,36.3538461538462,12
"eddie",3,"T.J. Warren",0,37.01875,6
"eddie",3,"Jonas Valanciunas",0,35.2444444444444,11
"eddie",3,"LaMelo Ball",0,31.6030303030303,5
"eddie",3,"Lou Williams",0,30.9151515151515,12
"eddie",3,"Obi Toppin",0,27.8208955223881,11
"eddie",3,"Brandon Clarke",0,29.6793650793651,12
"eddie",3,"Mikal Bridges",0,25.9869565217391,2
"eddie",3,"Kendrick Nunn",0,27.3923076923077,1
"eddie",4,"Karl-Anthony Towns",0,51.4074626865672,4
